Genesis,50,1533
Exodus,40,1213
Leviticus,27,859
Numbers,36,1288
Deuteronomy,34,959
Joshua,24,658
Judges,21,618
Ruth,4,85
1st Samuel,31,810
2nd Samuel,24,695
1st Kings,22,816
2nd kings,25,719
1st Chronicles,29,942
2nd Chronicles,36,822
Ezra,10,280
Nehemiah,13,406
Esther,10,167
Job,42,1070
Psalms,150,2461
Proverbs,31,915
Ecclesiastes,12,222
Song of Solomon,8,117
Isaiah,66,1292
Jeremiah,52,1364
Lamentations,5,154
Exekiel,48,1273
Daniel,12,357
Hosea,14,197
Joel,3,73
Amos,9,146
Obadiah,1,21
Jonah,4,48
Micah,7,105
Nahum,3,47
Habakkuk,3,56
Zephaniah,3,53
Haggai,2,38
Zechariah,14,211
Malachi,4,55
Matthew,28,1071
Mark,16,678
Luke,24,1151
John,21,879
Acts,28,1007
Romans,16,433
1st Corinthians,16,437
2nd Corinthians,13,257
Galatians,6,149
Ephesians,6,155
Philippians,4,104
Colossians,4,95
1st Thessalonians,5,89
2nd Thessalonians,3,47
1st Timothy,6,113
2nd Timothy,4,83
Titus,3,46
Philemon,1,25
Hebrews,13,303
James,5,108
1st Peter,5,105
2nd Peter,3,61
1st John,5,105
2nd John,1,13
3rd John,1,14
Jude,1,25
Revelation,22,404